tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
812	14B4v8YREDYpzk9rb534YY2MmSpkG6pXBf	https://bitinfocharts.com/bitcoin/address/14B4v8YREDYpzk9rb534YY2MmSpkG6pXBf	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2013-09-11 14:43:43	2025-11-05 08:12:35	27			
813	1FMn26mce15d5beTvv9hQ33VFhjLjegDoy	https://bitinfocharts.com/bitcoin/address/1FMn26mce15d5beTvv9hQ33VFhjLjegDoy	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2013-04-10 14:05:19	2025-11-05 08:12:35	27			
814	1JkY68zAkMFmUb21K5i9M6Xnn8rRcqyUb5	https://bitinfocharts.com/bitcoin/address/1JkY68zAkMFmUb21K5i9M6Xnn8rRcqyUb5	500.00 BTC ($44,600,630) 34 0	500.00 BTC ($44,600,630)	0.0025057%	2013-03-22 23:02:21	2025-11-05 08:12:35	34			
815	1DF2Q75TENW57pPmHhpvnBsgcPVpPqu1US	https://bitinfocharts.com/bitcoin/address/1DF2Q75TENW57pPmHhpvnBsgcPVpPqu1US	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2013-03-15 02:25:14	2025-11-05 08:12:35	27			
816	1KkiryzeX53BEPpFdEaLnNHFmoGo7JY4Us	https://bitinfocharts.com/bitcoin/address/1KkiryzeX53BEPpFdEaLnNHFmoGo7JY4Us	500.00 BTC ($44,600,630) 29 0	500.00 BTC ($44,600,630)	0.0025057%	2013-03-13 22:33:14	2025-11-05 08:12:35	29			
817	1Fs8MajAhSnLkdhznPLfdWYbQZQgjdLTJC	https://bitinfocharts.com/bitcoin/address/1Fs8MajAhSnLkdhznPLfdWYbQZQgjdLTJC	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2011-05-25 05:23:05	2025-11-05 08:12:35	27			
818	1Mp5TX53tPEhXAMDpp9Fop19Tn7i2gah13	https://bitinfocharts.com/bitcoin/address/1Mp5TX53tPEhXAMDpp9Fop19Tn7i2gah13	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2011-05-25 03:39:17	2025-11-05 08:12:35	27			
819	1FS5r5WHdgHcgCLW9AkTe5h4Rv7x9qYR68	https://bitinfocharts.com/bitcoin/address/1FS5r5WHdgHcgCLW9AkTe5h4Rv7x9qYR68	500.00 BTC ($44,600,630) 27 0	500.00 BTC ($44,600,630)	0.0025057%	2011-05-16 22:37:47	2025-11-05 08:12:35	27			
901	1HseM6kPVXekM8kqE3ibaR1yDqkBwZS5ok	https://bitinfocharts.com/bitcoin/address/1HseM6kPVXekM8kqE3ibaR1yDqkBwZS5ok	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2016-10-05 06:24:04	2025-11-05 08:12:35	21			
902	1FipEY2YzuCFQ1pt3Bo1dVoUPWGvBju6xW	https://bitinfocharts.com/bitcoin/address/1FipEY2YzuCFQ1pt3Bo1dVoUPWGvBju6xW	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2016-01-24 05:38:37	2025-11-05 08:12:35	21			
903	15CZb1sj3gPCR3fJ49NWRje1EVYNQVG9d9	https://bitinfocharts.com/bitcoin/address/15CZb1sj3gPCR3fJ49NWRje1EVYNQVG9d9	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2018-05-04 11:02:48	2025-11-05 09:01:12	21			
904	1PKpEpqHuz8a15Z5UtFkbsKWahUARJr3HF	https://bitinfocharts.com/bitcoin/address/1PKpEpqHuz8a15Z5UtFkbsKWahUARJr3HF	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2017-08-02 12:02:35	2025-11-05 09:01:12	21			
905	18xaKmwL8J5D2dmA9vpMDNspCRBNyMQ2wi	https://bitinfocharts.com/bitcoin/address/18xaKmwL8J5D2dmA9vpMDNspCRBNyMQ2wi	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2017-03-21 03:36:46	2025-11-05 08:18:46	21			
906	1B3EhsqxZsWmeNXmJ3h9hoAQvGgFEmsguk	https://bitinfocharts.com/bitcoin/address/1B3EhsqxZsWmeNXmJ3h9hoAQvGgFEmsguk	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2018-07-03 02:30:49	2025-11-05 23:26:52	21			
907	1AyTNeHVb6SLR17kQM3PGdP9F2wxmALhPM	https://bitinfocharts.com/bitcoin/address/1AyTNeHVb6SLR17kQM3PGdP9F2wxmALhPM	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2018-07-03 02:30:49	2025-11-05 23:43:02	21			
908	176CznP9VmSHZsLPVKSgzD5ikGhnWkF2Ny	https://bitinfocharts.com/bitcoin/address/176CznP9VmSHZsLPVKSgzD5ikGhnWkF2Ny	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2018-07-03 02:30:49	2025-11-05 23:26:52	21			
909	1D4hiXn2xLVGTQQWXR491c46ak7SqssELf	https://bitinfocharts.com/bitcoin/address/1D4hiXn2xLVGTQQWXR491c46ak7SqssELf	500.00 BTC ($44,600,583) 21 0	500.00 BTC ($44,600,583)	0.0025057%	2018-02-22 15:41:23	2025-11-05 23:43:02	21			
910	12ac1ZZS51KpumyiraXeFtUdTsKRhv4Tj9	https://bitinfocharts.com/bitcoin/address/12ac1ZZS51KpumyiraXeFtUdTsKRhv4Tj9	500.00 BTC ($44,600,582) 22 0	500.00 BTC ($44,600,582)	0.0025057%	2018-08-30 08:57:12	2025-11-05 23:43:02	22			
911	1Emkc5Wjzg4dtc6rEAUNZuECjJZdPCEuFh	https://bitinfocharts.com/bitcoin/address/1Emkc5Wjzg4dtc6rEAUNZuECjJZdPCEuFh	500.00 BTC ($44,600,582) 20 0	500.00 BTC ($44,600,582)	0.0025057%	2017-07-14 08:48:38	2025-11-05 23:26:52	20			
912	17dSJN2QyYiDREo1D7FUF7u9CsUwSMnwhg	https://bitinfocharts.com/bitcoin/address/17dSJN2QyYiDREo1D7FUF7u9CsUwSMnwhg	500.00 BTC ($44,600,582) 21 0	500.00 BTC ($44,600,582)	0.0025057%	2018-10-15 13:01:29	2025-11-05 23:43:02	21			
913	3Gdp16kdZL5KYJkGAkEH2MAsvUDHwygRx3	https://bitinfocharts.com/bitcoin/address/3Gdp16kdZL5KYJkGAkEH2MAsvUDHwygRx3	500.00 BTC ($44,600,582) 22 0	500.00 BTC ($44,600,582)	0.0025057%	2018-04-05 21:16:40	2025-11-05 23:26:52	22			
914	1CooxiZdiBmMV4qezvioRtpwqfBAKyeYqt	https://bitinfocharts.com/bitcoin/address/1CooxiZdiBmMV4qezvioRtpwqfBAKyeYqt	500.00 BTC ($44,600,581) 18 0	500.00 BTC ($44,600,581)	0.0025057%	2018-11-25 13:46:03	2025-11-05 22:09:56	18			
915	1HtQwoguFkvMynK1NyDhh1weHjrMyDAKU	https://bitinfocharts.com/bitcoin/address/1HtQwoguFkvMynK1NyDhh1weHjrMyDAKU	500.00 BTC ($44,600,575) 23 0	500.00 BTC ($44,600,575)	0.0025057%	2017-11-02 18:30:21	2025-11-05 23:44:49	23			
916	1Ge39w5Ug2y5EiQV4pi4Hj9otvSWhHY4AL	https://bitinfocharts.com/bitcoin/address/1Ge39w5Ug2y5EiQV4pi4Hj9otvSWhHY4AL	500.00 BTC ($44,600,575) 23 0	500.00 BTC ($44,600,575)	0.0025057%	2017-11-02 18:30:21	2025-11-05 23:44:49	23			
917	1PfNh5fRcE9JKDmicD2Rh3pexGwce1LqyU	https://bitinfocharts.com/bitcoin/address/1PfNh5fRcE9JKDmicD2Rh3pexGwce1LqyU	500.00 BTC ($44,600,575) 23 0	500.00 BTC ($44,600,575)	0.0025057%	2017-11-02 18:30:21	2025-11-05 23:43:02	23			
918	1Ek93YBu22kMJ43GhbTy13dYnckcbZE4xu	https://bitinfocharts.com/bitcoin/address/1Ek93YBu22kMJ43GhbTy13dYnckcbZE4xu	500.00 BTC ($44,600,575) 23 0	500.00 BTC ($44,600,575)	0.0025057%	2017-11-02 18:30:21	2025-11-05 23:43:02	23			
919	19BKs5rtg9DDthGfqDRffH9bCgthRyHez1	https://bitinfocharts.com/bitcoin/address/19BKs5rtg9DDthGfqDRffH9bCgthRyHez1	500.00 BTC ($44,600,574) 21 0	500.00 BTC ($44,600,574)	0.0025057%	2017-11-02 18:30:21	2025-11-05 23:43:02	21			
