tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
111	1NTva3cWy3Xiueh5GPWCa9cz8SePrv6cmT	https://bitinfocharts.com/bitcoin/address/1NTva3cWy3Xiueh5GPWCa9cz8SePrv6cmT	2,000 BTC ($178,402,401) 41 0	2,000 BTC ($178,402,401)	0.010023%	2013-11-11 21:19:36	2025-10-28 20:50:52	41			
112	13RwLs69Y7xPrTM5E2aa9RxiDSyeX6jEyw	https://bitinfocharts.com/bitcoin/address/13RwLs69Y7xPrTM5E2aa9RxiDSyeX6jEyw	2,000 BTC ($178,402,392) 29 0	2,000 BTC ($178,402,392)	0.010023%	2013-01-05 04:35:02	2025-10-28 20:50:52	29			
113	1KxQJau7BkuwHZh7Ugo2yoqKN9WeS51S5C	https://bitinfocharts.com/bitcoin/address/1KxQJau7BkuwHZh7Ugo2yoqKN9WeS51S5C	2,000 BTC ($178,402,348) 30 0	2,000 BTC ($178,402,348)	0.010023%	2013-03-20 12:34:16	2025-10-28 20:50:52	30			
114	1AsgPtK6qG5M8bHxcgeVzot12gfKnUnPW9	https://bitinfocharts.com/bitcoin/address/1AsgPtK6qG5M8bHxcgeVzot12gfKnUnPW9	2,000 BTC ($178,402,333) 25 0	2,000 BTC ($178,402,333)	0.010023%	2017-08-05 20:03:05	2025-10-28 20:50:52	25			
115	1CqMbvPpLS8mWerAHiJSS9yasZaQ9bEsZf	https://bitinfocharts.com/bitcoin/address/1CqMbvPpLS8mWerAHiJSS9yasZaQ9bEsZf	2,000 BTC ($178,402,302) 25 0	2,000 BTC ($178,402,302)	0.010023%	2018-04-25 08:59:43	2025-10-28 21:34:52	25			
116	16maYEFESxYegRrDrm8AzmhYtGdHwHnvnx	https://bitinfocharts.com/bitcoin/address/16maYEFESxYegRrDrm8AzmhYtGdHwHnvnx	2,000 BTC ($178,402,240) 26 0	2,000 BTC ($178,402,240)	0.010023%	2017-07-28 11:14:50	2025-10-28 21:34:52	26			
117	12KkxkrPeSR9H1SnbKT2UPepLgarz3tGHp	https://bitinfocharts.com/bitcoin/address/12KkxkrPeSR9H1SnbKT2UPepLgarz3tGHp	1,986 BTC ($177,125,254) 30 0	1,986 BTC ($177,125,254)	0.0099512%	2017-12-24 12:02:21	2025-10-28 21:37:15	30			
118	1ER3nEZFqXUkKw6AucHnmPxXnQQ8F6SJEG	https://bitinfocharts.com/bitcoin/address/1ER3nEZFqXUkKw6AucHnmPxXnQQ8F6SJEG	1,969 BTC ($175,637,187) 31 0	1,969 BTC ($175,637,187)	0.0098676%	2012-10-12 10:42:57	2025-10-28 21:37:15	31			
119	14CQ2jCrpsd1eSdC4zWsJZH9LvDr6GrCyo	https://bitinfocharts.com/bitcoin/address/14CQ2jCrpsd1eSdC4zWsJZH9LvDr6GrCyo	1,958 BTC ($174,615,819) 33 0	1,958 BTC ($174,615,819)	0.0098102%	2011-08-08 22:49:10	2025-10-28 21:37:15	33			
201	1DowZxD3BVK4EBqWoD6QaES8t277hgmWDv	https://bitinfocharts.com/bitcoin/address/1DowZxD3BVK4EBqWoD6QaES8t277hgmWDv	1,137 BTC ($101,463,562) 31 1	1,137 BTC ($101,463,562)	0.0057004%	2017-08-22 14:43:00	2025-10-30 04:20:20	31	2017-08-25 01:38:30	2017-08-25 01:38:30	1
